Classifier,Preprocessing,Accuracy,Precision,Recall/TPR,FPR,FNR,TNR,F1-Score,ROC curve (area),Balanced Accuracy,Time Train
"DTreeClassifier: criterion: gini, max_depth: 3, min_samples_split: 2, min_samples_leaf: 1, max_features: sqrt",Reshape,0.9559470045910381,0.1277360339758249,0.995745649494894,0.8722639660241751,0.004254350505106005,0.1277360339758249,0.2100456621004566,0.7751200905030341,0.7751200905030342,2.267310619354248
"DTreeClassifier: criterion: gini, max_depth: 3, min_samples_split: 2, min_samples_leaf: 1, max_features: log2",Reshape,0.9091903146321553,0.06757946993354151,0.9960341066825302,0.9324205300664585,0.00396589331746976,0.06757946993354151,0.1222037211322667,0.7746870018463472,0.7746870018463473,1.4358463287353516
"DTreeClassifier: criterion: gini, max_depth: 3, min_samples_split: 2, min_samples_leaf: 2, max_features: sqrt",Reshape,0.9378524726447525,0.10011467889908257,0.9963862469050728,0.8998853211009175,0.003613753094927124,0.10011467889908257,0.17383512544802868,0.8000035885517099,0.8000035885517098,2.2944343090057373
"DTreeClassifier: criterion: gini, max_depth: 3, min_samples_split: 2, min_samples_leaf: 2, max_features: log2",Reshape,0.9136839897843785,0.06946906389803326,0.9958824399625228,0.9305309361019667,0.004117560037477193,0.06946906389803326,0.12497152835775568,0.7691052556210911,0.7691052556210911,1.3835055828094482
"DTreeClassifier: criterion: gini, max_depth: 3, min_samples_split: 2, min_samples_leaf: 3, max_features: sqrt",Reshape,0.9474988953048584,0.11435160065111231,0.99618704864882,0.8856483993488877,0.003812951351179954,0.11435160065111231,0.1938822447102116,0.7936592679464207,0.7936592679464207,2.152287006378174
"DTreeClassifier: criterion: gini, max_depth: 3, min_samples_split: 2, min_samples_leaf: 3, max_features: log2",Reshape,0.947611237183664,0.09933587678394801,0.9950887349340419,0.900664123216052,0.004911265065958053,0.09933587678394801,0.16736102844899417,0.7413754235959347,0.7413754235959347,1.531639575958252
"DTreeClassifier: criterion: gini, max_depth: 3, min_samples_split: 3, min_samples_leaf: 1, max_features: sqrt",Reshape,0.9399570105077104,0.10136986301369863,0.9962198104310854,0.8986301369863013,0.003780189568914534,0.10136986301369863,0.17512089721164728,0.7928414483812918,0.7928414483812918,2.4968526363372803
"DTreeClassifier: criterion: gini, max_depth: 3, min_samples_split: 3, min_samples_leaf: 1, max_features: log2",Reshape,0.9343099587330832,0.08223942555817346,0.995257126348228,0.9177605744418266,0.004742873651771957,0.08223942555817346,0.14320601738790661,0.745874013965288,0.745874013965288,1.2258961200714111
"DTreeClassifier: criterion: gini, max_depth: 3, min_samples_split: 3, min_samples_leaf: 2, max_features: sqrt",Reshape,0.9477834947311659,0.11744784611216473,0.9963770126606363,0.8825521538878353,0.003622987339363718,0.11744784611216473,0.19917298414886284,0.8027756633324425,0.8027756633324425,1.6133699417114258
"DTreeClassifier: criterion: gini, max_depth: 3, min_samples_split: 3, min_samples_leaf: 2, max_features: log2",Reshape,0.945491720403532,0.11226882000520969,0.9963287588503135,0.8877311799947903,0.003671241149686514,0.11226882000520969,0.19151299711175296,0.7997489933486842,0.7997489933486842,0.47411251068115234
"DTreeClassifier: criterion: gini, max_depth: 3, min_samples_split: 3, min_samples_leaf: 3, max_features: sqrt",Reshape,0.9653238067420106,0.15676910299003322,0.9955790373334369,0.8432308970099668,0.004420962666563071,0.15676910299003322,0.24592833876221498,0.769761193281829,0.7697611932818289,1.322807788848877
